,0,1
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpdei/2013-08-31/jpdei_cor}NumberOfSubmissionDEI,"{'contextRef': 'FilingDateInstant', 'decimals': '0', 'unitRef': 'pure'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NetSalesSummaryOfBusinessResults,"{'contextRef': 'Prior1YTDDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NetSalesSummaryOfBusinessResults,"{'contextRef': 'CurrentYTDDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}NetSalesSummaryOfBusinessResults,"{'contextRef': 'Prior1YearDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}OrdinaryIncomeLossSummaryOfBusinessResults,"{'contextRef': 'Prior1YTDDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}OrdinaryIncomeLossSummaryOfBusinessResults,"{'contextRef': 'CurrentYTDDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}OrdinaryIncomeLossSummaryOfBusinessResults,"{'contextRef': 'Prior1YearDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,"{'contextRef': 'Prior1YTDDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,"{'contextRef': 'CurrentYTDDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}ProfitLossAttributableToOwnersOfParentSummaryOfBusinessResults,"{'contextRef': 'Prior1YearDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
0,{http://disclosure.edinet-fsa.go.jp/taxonomy/jpcrp/2021-11-01/jpcrp_cor}ComprehensiveIncomeSummaryOfBusinessResults,"{'contextRef': 'Prior1YTDDuration', 'decimals': '-6', 'unitRef': 'JPY'}"
